tokens,labels
i've message replied dont even think active facebook :( ,0
glasgow netball wish #thistles best journey good luck girl :-) #thistlelove ,1
check bro 2nd blogiversary many awesome review come :d ... ,1
startup community tropic geeks beach :) #startupph ,1
picture :( ,0
really look vantastic :) ,1
deserve madadagdagan pa yan :-) congrats :-) #bmc <3 ,1
poor guy :( ,0
hi jacqueline we're sorry hear please dm us contact detail give call :) ,1
:) ,1
ryan go em-con swear saw something say next year sorry im wrong :d ,1
body srsly tired can't sleep :-( ,0
can't sleep fmt 4 dat dm :) ,1
u knw wht i'm big fan n go set bt get chance meet ... :( ,0
love feel emm think :( ,0
oh that's shame :( we're really look people write frequently thank ,0
wanna go favorite spot watch sun rise that's way across town :( ,0
follow follow u back :) ,1
yeah i've see something tinder fb root :( woman frustrate awkward ,0
talk month :) ,1
thanks nice finally see end work nearly ... :) ,1
i'm drug alcohol apexis crystal meth apexis crystal champagne watch apexis crystal palace fc :) ,1
can't sleeeep :( ,0
maybe garrus liara rest crew :d ,1
thanks :) ,1
halsey ,1
really sorry hear sophie :( certainly pass feedback product development team ,0
yeah think part tour today :-( ,0
love :-) ,1
smile make smile :) ,1
thanks take time tweet kat :) ,1
guys add kik therver 85552 #kik #hornykik #bestoftheday #girls #wife #premiostumundo #oralsex :) ,1
goodbye forget feminist fight right act like snobby little bitch :-) goodnight ,1
happy day get tkts :) ,1
go home tomorrow :-( ,0
aw use photo :( ,0
visit blog thanks :d ,1
greatly appreciate :) ,1
miss :( ,0
kindly check email we're sending invoice since kanina pong umaga :) ,1
guys blue eye :d ,1
funny next anime umaru :d ,1
im try l mh3 english patch psp :d ,1
thank :) 🍰 ,1
awwww thank daw tine :) btw heard sa gensan ka miss know ,1
go bed :( ,0
already know stand let people dislike :( burdensome want totally clear soon possible ,0
happy friday everyone let rain get escape beach #vr need today :) ,1
hello :) get youth job opportunities follow ,1
might worthwhile endeavour :-) excuse weekend away ,1
stats day arrive 1 new follower unfollowers :) via ,1
officially graduated :d ,1
lol 10:16 right write :d ,1
i'm mean :( sazballs ❤ ,0
client_amends_edit _5_final_final_final pdf :) #morning ,1
awesome news mate well happy :) ,1
joke lang eh :( hahdhdhshhs ,0
let assume high waisted harry's jean :( :( ,0
see monday 2emt :) ,1
fback :) ,1
repeat audience :( ,0
hello ate #hbdme :-) :-) ,1
oh gawd really need get ... understand whole thing :( ,0
´ get chain love ´ — sentir-se incompleta ,0
followed thanks please followed :( ,0
popped like helium balloon .. :-( ,0
whaaat :( ,0
oh great i'm share carriage group middle age woman pink fur-trimmed stetson they've start drink already >:( ,0
friend :) ,1
watch sinister go bed wow i'm scar af :-) ,1
life remember one time year ago change avi lose 72 follower looooool :( ,0
kebun adorable spot ubud waiting #ladyposse :) good place xoxoxo ,1
nice one julie look forward :) ,1
read david's tweet think damn one month summer leave suck realize start college august 24th :) ,1
popular charismatic man.he thrive long economy n bubble burst georgie :) ,1
#domesticviolence :( proposed new law help domestic violence victims 98fm victims ... #uniteblue #vaw :-( ,0
billie :-) happen arm ,1
meet skills part business today see create amazing pathway young people beyond :) ,1
top cutie bohol :) ,1
shady af lol management say reservation 11 sept :) ,1
next time stay home :) ,1
see saturday :p i'll see stormy :d ,1
bless friday everyone :) ,1
srsly today like best day ever :) ,1
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x39 ,1
check receptionist surgery tell us check 20 min may forget :( ,0
bless :) shorthaired one look lot like oscar :) ,1
soooo burnt ... :-( ,0
wish happy birthday awesome fun fill day :d ,1
#climatechange #cc california's powerful influential air pollution watchdog califor ... #uniteblue #tcot :-( ,0
first impression :) ,1
thanks lovely #ff right back lovely day :) ,1
also sometimes nice break see constant tweet one subject welcome :) ,1
always amaze people forget drink water drink water people :) ,1
:d ty bby ,1
😭 there's love anymore :( ,0
stay :) ,1
omg nooo say hi :( ,0
cut encore :( #bad4thwin ,0
people anything postive say keep opinion :) looking good strong always ,1
problem want what's suppose happen friday friday always win tgif :) ,1
heartbroken :( ,0
thats omg imsorry :( ,0
u make diary please :( ,0
i'm surprise sound hellish would thing :( ,0
morning friend :) yesss thats way roll ;) #cam4 ,1
look forward hear thought :) #maritimenation ,1
girl stand front boy ask love all-time favorite quote julia robert movie haha :) ,1
none :) 🙅 ,1
call anything along line jojo chainsaw :-) ,1
🍅 funny nice :) ,1
hey follow back average joe's love #bluejays :) ,1
yeeeeyyy congrats .. :-) #gohf2015 #barsostay ,1
omg u know ... 😟 haha keedz la gonna long time party :( ,0
ya dis sound lyk gud idea :) ,1
u cant change people feel u dnt try live ur life happy :) ,1
ahh thank u :d ,1
that's one mine button pusher soon :) ,1
frighten case really get :( ,0
jessica call quit power ab 5:15 :-( ,0
struggling like crazy get race fan mode head want heart cooperate :( ,0
miss many people :-( ,0
taking 190 horrible timing :( ,0
jacob g upgrade :-) ,1
anyone else's show box work :( :( :( :( :( ,0
#happyfriday anything relate need help give us call 01482 333505 :) ,1
ahhh yes :d ,1
want myungsoo gyu hoya yeol :( ,0
although 3 panel start ... i'm gonna miss everything ... :-( ,0
look forward tomorrow's gathering omg la sudden change :( ,0
wat small session tat :( .. still im little happy bcoz first time hear name .. still short .. ,0
taxi driver go really fast i'm scar :( ,0
remember one time go flume kaytranada alunageorge even though ticket still want kms ,1
lovely daaay :d ,1
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x22 ,1
spain morning :) good morning ian ,1
one tree hill make cry lot 😕 :-( ,0
look way :( ,0
welcome family .. :) sending laughter giggle way 😃 ,1
achieve together thank rashmi time dedication complete inspiration :) ,1
evet :-( ,0
na gi-guilty akooooooooooooooo :( :'( #imveryverysorry mistake ,0
lay challo pliss :( ,0
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 319 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
omg :( wish come spain :( ,0
love body fuller shit even lol i'm happy healthy :) happy happy .. 💓 ,1
thank gen miss :d ,1
ice cream vehicle busy :-( #ubericecream ,0
followed thanks please followed :( ,0
literally three lounge event :-( much turn i'm sad ,0
cant :-( im still inside train station wait person home another hour away d; ,0
funny intelligent strong funny funny ... :-) ,1
thanks follow :-) hope great week ,1
welcome :) ,1
see ur bio 😆 😆 u break heart actually :( ,0
thank :) ,1
thanks follow enjoy tweet :) let friend beverly martin 1277 1093 ,1
would never understand though bummer still able meet :( :( :( :( ,0
right time get sick :( ,0
hello need know something u fm twitter — sure thing :) dm x ,1
thanks geoff :) ,1
gotcha :) ,1
oven roast garlic olive oil sun dry tomato dried basil century tuna :) ,1
guess y'all ugly asf huh :( ,0
omg :( gonna happen yeah wish .. ,0
thanks team yellow :) #mtn8 ,1
happen :( ,0
hey thank follow :) ,1
wish us could change :( ,0
url new web site design easy use :-( ,0
miss seehiah :( omggg ,0
good morning kimmy :) ,1
sorry close door :( ,0
want 2 let u know music video pwrfl make sense u superpower hot :) ,1
fleekile mbalula say repeat love south africa :) ,1
think ever win petrofac cup :-( ;-) ,0
deepthroat good movie :) ,1
see tomorrow :) ,1
hi would like concert let know city country i'll start work thanks :) ,1
:) ,1
come home empty house ape :( ,0
uff itna miss karhy thy ap :p ,1
care chu tell remember :) ,1
aug i'm super pack however rather thing rather work home :) ,1
hi i'm definetly exited i'm go new york :) ,1
idk cant wait tonight panel people :) ,1
feel like movie popcorn today cinema ... one go :( ,0
20 nothing though :( ,0
feel pain like welsh pod :( ,0
thankyou pretty :) ,1
pak saturday class pak monthly test :( ,0
:-) caro ,1
girl :) ,1
i'm play brain dots #braindots ,1
thanks follow welcome :) ,1
rejected :( #theaccidentalcouple ep 15 ,0
lmaooo hot 😤 😤 like louis :) he's hot ,1
depends vet visit sick cat :( i'll let know ,0
stats week arrive 1 new follower unfollowers :) via ,1
watch saw dan :) ,1
visit blog thanks :d ,1
nothing like little team photo thursday smile even :) ,1
tom :d via snapchat x ,1
bad thing think weird face rad :-) thanks though ,1
anyone family quad bike carrie :) ,1
wow roux tweet :) sweet ,1
omg :( every time would complain skin mom everyone get pimples like although ,0
nowt bad sad look willy :( ,0
awwww thanks :-) ,1
welcome jim made chuckle train morning :-) happy friday ,1
things regret ... loose .. :'( :( miss everyday life #kapatidkongpogi ,0
case cat video mood swear :d ,1
want sa bday ko :( :( :( <3 ,0
aww poor wish help even though can't really help much :( ,0
bitin :( ,0
sad pray :( ,0
norhing dialogue helpful like please love guy :) ,1
want armor piece good legendary :( ,0
:( l gp get ,0
surreal :) ,1
lovely :-) ,1
cool :) ,1
chickmt 123 #letsfootball #atk greymind 43 breaking news chris gayle say cricket 2-3 month due back surgery :( … ,0
♥ ♥ ♥ look relaxing :( ,0
never give best thing take time weh :( ,0
thank :) ,1
darlene followback please :( ,0
see many menace since finish jojo :d ,1
where's jaebum baby picture :( ,0
s2 air spain delay kill us ... :( ,0
always end break apologize fuck nice :-) ,1
7th cinepambata video festival complete mechanic official entry form may download sali na :d ,1
perfect satyajit ray's movie porosh pathor situation #goldbugs run cover :-) ,1
cheers realised joke :) ,1
worried :-( ,0
mayday parade feel :( ,0
miss itb omigod :( ,0
guys follow 2nd account follow back :) #beliebers ,1
bad :( ,0
babe :( ,0
looks painful :( ,0
wanna meet boy :( ,0
:( get ground bc think sneak people ,0
im sure fany happy :( ,0
goodbye stage :( miss ,0
local legend :( ,0
good advice friday :) ,1
lonely sometimes call number get busy tone :( ,0
group lourdes bang :( :( ,0
want t-shirts cool :d ,1
donna thurston collins saw today dog sit quietly kennel :( 911 needs ... ,0
heritage sword make wood :d ,1
finally get star driver srw mobage :( ,0
can't sleep bc heartburn :-( ,0
get delay guest sigh :( ,0
fulfil fantasy :) 👉 👈 💗 ,1
get 4 need homework probs upload tomorrow see time 2 :) ,1
would follow :) ,1
see charade become day day live :( ,0
many thing happen tomorrow aaaahh :( wanna gooooo ,0
mister best mister :) supportive kind absolutely amazing 3 ,1
hate :( ,0
get #hypixel :( want record grrrr #thestruggleisreal #geek #gamer #gamers #youtube ,0
guess never really identify pharmacy :) #verylaterealisation #iwishiknewbetter ,1
sometimes wonder go wrong :( guess i'll never know ,0
come crash hurt inside :( ,0
wait 2nd year soon :) get go trip like hschool 2nd year ,1
sick feeling :( wanna happpy ,0
love tiddler really silly :( least ’ get real new card like 1 hour .. ,0
oh :( someone i'm close maybe help sort tell though xd offer ,0
forget dream :) ,1
chant jai italy 100 time fast :) ,1
story life ... love london can't imagine living elsewhere gonna happen someday :( space ,0
good morning look forward see soon good day :) ,1
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 316 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
even dream frank ocean release new album ffs pls :( ,0
funny use kuffar computer cell phone social medium spread diarrhea though immigrant louse :d ,1
want play sims 4 :( ,0
haha kyle gf's baby :) ,1
prelim exam tomorrow :-) #costacc ,1
want dance rn :( ,0
common celebrate never fail get good mood :) ,1
well good morning :d ,1
state hair :( ,0
thanks tom :d ,1
1st week digital point decent physical album point :( wae ,0
isco :( ,0
damn food good :) ,1
great review massis tea miss :( #thatselfiethough ,0
happen stop talk :( ,0
yes surprise see bit rain today ... :) ,1
doli siregar retweeted tweet many thanks cheers ninh :) #inspire ,1
:) yup in-shaa-allah make dua u fr us see thru hatred move towards truth aameen 4/5 ,1
never love life success :) ,1
even know still exist haha text :( 626-430-8715 ,0
wish could've meet :( ,0
want tweet something think i'll probably lose lot liam girl mutuals :) ,1
#schoolsoutforsummer good luck fellow #parents juggle work child :-) xx ,1
bored max rn :( ,0
someone say thank u goodbye chris tomorrow pls :( ,0
pffff private #bugbounty find self-xss host header poison :( need code execution #ktksbye ,0
bird shit :( ,0
wish could friend everybody :( lmfaooooo ,0
tire work morning :( ,0
know say know :) ,1
get mine 7am morning :-) ,1
#tracerequest homie dassy fwm :d ,1
rain :( ,0
dinner date tonight pony bf :d ,1
hey information give argos card ring 0345 640 70 70 :) nad ,1
fback :) ,1
thrill first international assignment aerial camera operator ... wales come #boom never forget smile ,1
walk back breach ... :) ,1
haha hope get work tho .. bout quit :p ,1
still happen lot unfortunately still report people fall scam :( ,0
i've accept offer .. im desperate take year :( ,0
always go terrible time :( ,0
miss bad :( ,0
i'm sad :( ,0
glad hear solve luke :) name store pass kind word gen ,1
nice talk someone use :) ,1
rm35 still negooo male :) ,1
laguna :( ,0
care :d haha ,1
kik twers 782 #kik #kikhorny #lesbian #hornykik #girls #countrymusic #hornykik :( ,0
yes bro .. lose many :( ,0
hey raspberry island skelo_ghost :) want get iph 0ne 6 free kindly check bi0 thx ,1
otwol shoot awhile ago :) g #otwolgrandtrailer ,1
come tomorrow team ;) count :) #gohf ,1
paper town please :-( ,0
fback :) ,1
time mine :d ,1
much brother :( ,0
oh that's good linda :( try click option change pin ,0
hello babe get niam access could give something ship dm :) ,1
hi please help get back disabled account really really need back :( ,0
like coca cola love fanta dream pepsi die sprite alls sweeeeeeeety ♡ ♥ ♡ ♥ :-) ;-) :-d ,1
still fully intend write many game design possible attack plan next 6 month >:d ,1
guys add kik sprevelink 633 #kik #hornykik #chat #porno #orgasm #free #webcamsex :( ,0
much awaited excitement go boring friday weekend :( ,0
absolutely true :) :) :) ,1
kik entlead 590 #kik #kikmenow #nudes #hornykik #tinder #quote #webcamsex :( ,0
give chance daw :( ,0
nice connect yael :) ,1
they've brainwash :( ,0
must tiny :( ,0
often attitude kindle flame others conviction louis e le bar :-) ,1
chew toy stella come go lot noise teeth mum yell throw room :( ,0
one irresistible :) #flipkartfashionfriday ,1
quote tweet dm really want i'll surprise :) ,1
can't anymore i'm sorry bc anymore :-( ,0
fback :) ,1
thank :) ,1
love song keep good work :) ,1
please pray friend bilal ashraf icu :( ,0
dude :( i'm scar lol ,0
aww i've already leave would come say hey see sooner :( good night x ,0
privilege get mixtape please sign forehead ,0
type warlock :) ,1
＠ maverickgamer july 24 2015 07:25 pm :( ,0
nice dave :d ,1
follow already thanks :) ,1
65 digital sale .. bad feeling :( ,0
sunday morning stream also birthday stream follow usual birthday procedure play grim fandango :d ,1
kinda smug know stuff marrickville public ten year ago :-) ,1
miss :( ,0
yes omg lile tid tmi :) ,1
back fah mine :-( ,0
trip philly december :) i'd love come dude ,1
yep :( exactly ,0
ob 11h v kino :) ,1
forgot headphone shit cunt :( listen everyone room breathing ,0
even sleepy :( ,0
til 19th sept co that's bill start full rent :( ,0
follow follow u back :) ,1
would terrible :( ,0
3:33 roommate officially knock :( much nighter ,0
gwss :( ❤ ️ ❤ ️ — thankyouu ❤ ️ ,0
heyy miss :( ,0
zayn start small letter z :( ,0
omg ... beautiful ... miss soooooooo much ... ,0
already afternoon let read al kahfi day finish :) ,1
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 327 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
follow :) ,1
chaerin unnie ,1
photo feetblog 101 :) ,1
heeeeyyy follow fan account thank :) ,1
idea ure say :( ,0
cant find :( ,0
follow follow u back :) ,1
select others .. get :) ,1
babe infront tv stooooop :( ,0
make tea load shedding like ha bheyps ayemso hacked :( ,0
joerine scene :) joshane power tandem ,1
know . . i'm sorry let make ,0
always felt way ... life begin :) ,1
make song :d :d plz give feedback link :: … ,1
cannot seem get one powai :( ,0
yeah sure :) ,1
:( im feel lonely wth ,0
guess sleep list thing today :-) ,1
nosebleed :( ,0
oh head #인피니트 save :( ,0
got secrets grindea courier crypts possibly arma 3 record today ... gosh new game look like limbo :) ,1
ugh werk morning :-( ,0
＠ maverickgamer july 24 2015 07:32 pm :( ,0
sad every time apink event .. understand korean :( 😭 😭 ,0
miss beks original body since episode 13 :( ,0
trust enough believe salute :) ,1
buuuuuuuut oh well :-) ,1
see i'll get first round :-) ,1
💓 🚮 👯 definition perfection would picture next :) ,1
yes far nightmare sort :( light end tunnel fank dog xxx ,0
bored :( ,0
spent 5min tryna lock hse door without get key stuck noob nxt level :( ,0
make really distressing reading :-( ,0
sad see go :( particular issue support team help #fxhelp ,0
good bye party era :( ,0
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x17 ,1
follow follow u back :) ,1
yah know i'm good fake mah emotion :) ,1
suuuuuuuper sick :( fever get way bad :( ,0
secret :( ,0
finish download 10 movie one complete tv series last night … where.do.i.start :) #moviemarathon ,1
#iran #irandeal :-( us-iran nuclear deal mit's expert size deal severely li ... #uniteblue #tcot ,0
followed thanks please followed :( ,0
pleasure :-) ,1
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x6 ,1
lovely write :) absolutely adore nva lucky enough live 5 minuet away roll gamecity ,1
2 dollar :( 😭 😭 😭 ,0
’ rain cold :( ,0
stuff well :-) would know ... ,1
stats day arrive 1 new follower unfollowers :) via ,1
great start #se100leaders shin light good business :) ,1
missing best friend :( ,0
good quit full time job last week can't find another one :( ,0
thanks follow :) ,1
may find confusing :) simple wolf ,1
sad :( via ,0
last class morning two week break :-) ,1
... friday :d ,1
lovely look cake bet taste good :-) ,1
take say :( ,0
go please click link checkout :) ,1
breakfast champion :) ,1
know :( ,0
sorry :( i'll let know see ♡ ,0
ah see song prefer take maman :) ,1
hey guy i'll live 30 min want fun low rank game subgames faceit today :) ... ,1
:( go bed way late ,0
i've happy lately :) ,1
awake :p ,1
bri fall asleep :( ,0
hey survive train :d ,1
omg amber :( ,0
weather make want go gym ... :-( ,0
i'm okay tire plan go today rain :( ,0
ohh sad :( ,0
we're sorry hear :( try following step let us know get ,0
hard save live ... :( 3 #stexpert #ripstegi ,0
said go sleep hour ago im still awake :-) ,1
title say :d ,1
talk si :( ,0
wish buy bangtan's merch :( ,0
arummzz let's go ... i'll drive :p #traveling #traveler #yogyakarta #jeep #indonesia #instamood … ,1
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 336 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
miss den :( ,0
dog guy hilarious brilliant interview replay iplayer late funny :) ,1
really really really really really really like :) :) #psygustokita ,1
fun even though able see :( ,0
white thing ngeze turn :( white party i've nothing cocktaily classy 😭 😭 😭 stress ,0
infinite im sorry .. cant stream :( ,0
follow follow u back :) ,1
guess need build content around image inventory little bit :) ,1
hope get lot nice gift :d ,1
add snapchat nicoleapage #snapchat #kiksex #kikmeboys #makeup #kikmeboys #free #camsex :( ,0
score first :( ,0
want hot dog :( ,0
isco :( ,0
love miss hammies thank :) ,1
unfriend :( 3 #greysonchance ,0
guys add kik mune 874 #kik #kikme #tagsforlikes #snapme #bored #hannibal #kikgirl :( ,0
love coco folks :) ,1
sunggyu back :( wonder he's okay :( ,0
busy sa school :( next time love yah xx ,0
yep would vote could ;-) imagine hillary clinton first female us president :-) ,1
tbh bestfriend breakup even bad relationship breakup :( ,0
little doodle star comic summoner back soon :) #art #doodle ,1
i'm inactive wanna cry :( ,0
lose 3.4 k :( ,0
hit thumb :( ,0
weltum teh dety :p huh =d ,1
nice see spanish ... well latin american spanish :-) ,1
hmmm 10 min get train i'm currently 15 min away :( #failsatlife ,0
looking forward review :-) ,1
can't even see hyungwon :( ,0
asian ummmm maybe ur film child pornography slutshamed fake suicide ect :-( ,0
nothing shepherds bush either :( want ice cream ,0
hey paul great day :) ,1
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 323 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
wake pee sun come can't go back sleep :( ,0
could say egg face :-) ,1
little man watch weather forecast lazy cosy day today first day holiday :) ,1
dont trade trade harry sorry one :( ,0
honey brown sugar good ur lip :/ amount stuff use face could've use food instead :( ,0
glyon :d ,1
alrd joy :) ,1
know dumb think johnny rock u see utube video's mad respect :d ,1
long us :( ,0
annnd go winchester {: ,0
catch :( >:d ,1
happy birthday malik umair big celebrity canon gang stay blessed bro :) ,1
keep forget area :-( want visit next time xx ,0
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x32 ,1
nba 2k15 mypark – chronicles gryph volume 3 ← click aqui :d ,1
finally get bed :) good night tweeties ,1
combine three add bit asian u get truly :) ,1
trying use #twitter account #caesarspalace #socialrewards say account meet requirement ... damn #twitter :( ,0
can't sleep :( ,0
promote :) ,1
sometimes tamang hinala :) ,1
still suck edit turn something special owe guy :) ,1
hellooooooooo friday meet :) almost weekend :) ,1
pleasure :d enjoy day ,1
love blue :) #flipkartfashionfriday ,1
body still hurt af get home :) ,1
delph injure already :( #mcfc ,0
everyone want parcel everyone willing believe auspost fail deliver :) ,1
hi girls :) wish happy #friday #magnificent #fantastic w e ♡ ♥ ♡ ♥ ,1
say exam exam na sa lunes martes :( ,0
miss much :( ,0
impressive ... 13 feel bad :) ,1
anchors sea .. :) ,1
interview day today sending lotsa lotsa good luck :d xx ,1
preferred term whomosexual otherwise sound like plan :-) ,1
oh god i'm strucked pain ... cant take anymore :( ,0
try sleep notice picky finger start swell :( ugh omg ,0
red velvet cake plsssssss :( ,0
di private gagal kepo :( #teenchoice #choiceinternationalartist #superjunior ,0
absolute cutie congratulation :) ,1
thanks texting back :) i'm texting tomorrow :) ,1
everyone gonna talk abt rat boy today bc :( ,0
lmao back get really really serious ... :( ,0
agree :-) ,1
thank :) get retweeted x ,1
okies :-( ,0
everything okay :( x ,0
hi dark angel mochamichelle :) wanna get iph 0ne 6 free simply go check bi0 thx ,1
please read reply dm please .. :) ,1
google make really sad become prime minister :p ,1
craving wings :( ,0
awww pussycats :-) xx ,1
sure :) ,1
like can't actually put pressure ankle hop around house lose balance fell :( ,0
fair ... us fans like us abroad get hurt ... :) ,1
followed thanks please followed :( ,0
know right d: hard believe :( ,0
oh :d ,1
brilliant :-) ,1
thank bhaiya :-) ,1
i'll busy school :( ,0
hi hayley :-) ask #bellybutton #innie #outie ,1
investigation answer especially pup die within free insurance period :( ,0
wish dog like cuddle :( ,0
tommy georgia cute actually hurt heart :( :( :( ,0
thank :) tweenie_fox hi please click list hair accessory product ,1
belated .. thanks thanks :d ,1
yes course lovely talk volunteer maybe even time get job :) ,1
:( true ,0
dare :( ,0
404 find :( ,0
。 。 。 :( ´ ω 」 ∠ ): ,0
like rise :( ,0
well sure work day mine :( ,0
hi dm luke please :( ,0
appreciate recent retweets great friday :) ,1
i'm sorry give enough hug awhile ago b tired :( nice see luv ,0
baby u tweet fan sleep i'm sad :( ,0
far lfc fan make expert spot mental weakness lack consistency :-) ,1
eye really bad today even glass :( ,0
#mastership honey :d ,1
im sure tho :( ,0
hey fun today :) wish could i'll sprit love yous ,1
hope rest night go quickly ... bed ... get music fix time dream :) ,1
nighter :( ,0
aw know i'm sorry :( hashbrowns 😂 😊 💘 💘 ,0
new favorite editing app jk someone pls translate :( ,0
offend :( ,0
surely watch pokiri 1nenokkadine tym favs :-) #bajrangibhaijaanhighestweek1 ,1
sam see rush 19 time would 20 toronto flight cancel day show :( stuart ,0
use nice hair :( look shiny long wavy im emo ,0
kind :) ,1
can't able view pic da .. :( wat pic ,0
feeling u wanna leave someone's open house :( ,0
awww kiligs ty :( ,0
say big thank person come idea screenshotting :-) ,1
sorry nichola glad back work :) always need us mka ,1
like pharma sugar ... almost immovable :( ,0
take u write :p ,1
tha case trion interaction forum twitch :) ,1
happy birthday iqbal wish best :) ,1
haha almost certainly true name :) ,1
i'd willing try :) ,1
ok :) ,1
awful :( ,0
:( feel ,0
😭 think well offensive laugh :( ,0
online please :( ,0
want kitten badly oh god :( ,0
emoji :( ,0
u find ur friend ditch u cause lot thing :) wtf done im actually nice person ,1
went bed headache ... wake headache :( ,0
want ruin dream think batman :-) ,1
buy order book #mememe i'm finland yet ... :( ,0
u :( ,0
make final design please check :) ,1
thanks :) ☺ ️ ,1
awesome find twitter image mention give us nudge spot tasty plant pic :) ,1
i'm gonna freak :: :) ,1
v cute carmel thanks great work :) ,1
matsu_bouzu notice something skin color like horse :d haha ,1
didnt take photo :-( ,0
follback :) ,1
true ... honesty lonely word :( ,0
hey fav nirvana song smell like teen spirit rip amy winehouse :-) ,1
gonna longggg night :( ,0
followed thanks please followed :( ,0
thanks marty gd weekend :) ,1
good night tiger sweet furry dream xxoo ,1
miss taybigail :( ,0
someday we'll know :) ,1
getting everything ready natural pefumery workshop neals yard covent garden tomorrow :) ,1
sure sorry :( x ,0
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 334 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
one awake :( ,0
sadly :( channel owner decides region broadcast thanks kei please rate se ... ,0
well beginner thanks follow good weekend :) ,1
nonexistent wowza :( ,0
think designer industry present :) ,1
stats week arrive 1 new follower unfollowers :) via ,1
ahh fam :( #respectlost ,0
i'm follow :) ,1
thanks :) #cjradacomateada ,1
perfect already know what's wait :) ,1
think survive well find miss body fragment would've nice :( ,0
glo yet :( ,0
lil bitch heiya visit site u wanna grab free 30.000 8 ball pool coins thank :) ,1
okkkk frends milte h break k bad :) ,1
follow follow u back :) ,1
also new layout new :) ,1
i'm sure tapir calf one like adventurous mealtime :) ,1
think could get sponsor :) ,1
eh abuti welcome tweetland ... lol :p ,1
thank can't wait make next cover :) ,1
wait code :) ,1
u :( ,0
hate late bc wake early end waste day :( ,0
i'm confuse :( put inital location #ubericecream ask location destination ,0
want elevate position want promotion want favor god favor men ... :) ,1
think :-( ,0
big mistake bring sweater morning :( ,0
okk den call abp n spread allover india n abroad well :p ,1
seriously want go back :( ,0
stats day arrive 2 new follower unfollowers :) via ,1
say icecream available :( ,0
im :) x ,1
sterling's gonna good city :( ,0
rofl go happen rest assure :d ,1
morning :) ,1
hugs really wish could love :( miss ,0
17 science student side please :) ,1
randomly book ticket go #buckinghampalace can't wait :) good ,1
i'd like :d ,1
loan back january :d ,1
i'm crave breakfast food badly right :( ,0
idea :( ,0
three dream last night one want remember two want remember :( ,0
get work tom well :d ,1
thankyou :) ,1
i'm excited definitely meet :) ,1
nobody pick one right :( ,0
someone talk miss :( ,0
thanks ash :) ,1
yeey :d ,1
mean aamir khan one :) ,1
favor tridon cause he's tank :p ,1
thank make tweet favourite :-) ,1
can't even deliver ice cream try twice ice cream van busy :( ,0
yaaaaayyyyyy best friendaaaaaaa shout like minion :) ,1
never listen hills every :-) ,1
last time funeral funeral modimo ho tseba wena fela :( — feeling emotional ... ,0
i'm starve :( ,0
mirror selfie :) ,1
thank :-) ,1
working 5 everyday exhaust :( ,0
thank thanks watch :) ,1
find old picture long hair make sad :( ,0
want watch paper town :-( ,0
omg love ty zap :( ,0
miss youuuu :( ,0
:( :( :( pay day make less poor :( :( :( ,0
hey worry please share wallet detail via dm get sort :) ,1
actually try blend really good also good health benefit :) ,1
feel alone :( ,0
can't :( ,0
hi john please call 33 1 64 74 40 00 go city hall know someone find ted lovely day :) ,1
tips online 6/7 winners yesterday 1 goal nice 20/1 :( hopefully similar strike rate today ,0
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x41 ,1
favourite :) cream soda :) ,1
miss btw :( ,0
sc :) ,1
actually gf couscous bad think would i'll send link :) ,1
camillus pleaseee :) ,1
omfg beautiful place ever miss much :( ,0
want get dota fuck :( ,0
beautiful sunflower sunny friday morning :) #sunflowers #favourites #happy #friday … ,1
vuly today 2 tomorrow though :) ,1
followed thanks please followed :( ,0
square enix bissmillah ya allah :) ,1
morning :) ,1
im sorry :( ,0
love since eighteen :) ,1
grumpy day today night shift tonight :( ,0
wanna go house rn give big big hug :( ,0
listen life late :) ,1
rip momo :( ,0
good bye stage :( ,0
end happy :) ,1
matt would say welcome adulthood ... :) ,1
rosie hayoung shut :( ,0
lovely giveaway :) #freebiefriday ,1
yes keep come list someone else mention persona ’ try thanks :) ,1
even know k3g smh :( ,0
billionaires 1645 world islands 1190 maldives dheena fasgadah alvadhaau :( ,0
favorite tea :) ,1
